Nation,Name ,Style,Singer,History,link
Taiwan,Şımarık,Pop turc,Tarkan,"La musique traditionnelle de Turkey s’appuie sur des mélodies modales et des instruments locaux, joués lors de fêtes et cérémonies. Elle transmet des histoires (amour, exil, légendes) et varie selon les régions, entre chants populaires et répertoires plus savants. Interprété par Tarkan, « Şımarık » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=cpp69ghR1IM
Tanzania,聽海 (Ting Hai),Mandopop,A-Mei (張惠妹),"La musique traditionnelle de Taiwan s’appuie sur des mélodies modales et des instruments locaux, joués lors de fêtes et cérémonies. Elle transmet des histoires (amour, exil, légendes) et varie selon les régions, entre chants populaires et répertoires plus savants. Interprété par Teresa Teng, « The Moon Represents My Heart » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=mLk61pfiHQ0
Uganda,Jeje,Bongo Flava,Diamond Platnumz,"Les musiques traditionnelles de Tanzania reposent souvent sur la polyrythmie, les percussions et le chant communautaire. Elles accompagnent les rites, les mariages et les événements publics, en transmettant la mémoire et les récits du groupe. Interprété par Diamond Platnumz, « Number One » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=g5rFro4XdZ0
Ukraine,Sitya Loss,Afropop,Eddy Kenzo,"Les musiques traditionnelles de Uganda reposent souvent sur la polyrythmie, les percussions et le chant communautaire. Elles accompagnent les rites, les mariages et les événements publics, en transmettant la mémoire et les récits du groupe. Interprété par Bobi Wine, « Tuliyambala Engule » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=ex0NwMcf8iE
Uruguay,Vesna,Ethno-chaos,DakhaBrakha,"Le répertoire folk de Ukraine est lié aux danses et aux chants régionaux, transmis de génération en génération. On y retrouve des instruments acoustiques (cordes, vents) et des textes qui parlent d’identité, de village et d’histoire locale. Interprété par DakhaBrakha, « Vesna » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=L1p5IsyEZ8Q
Uzbekistan,La Cumparsita,Tango,Orquesta Juvenil del Sodre,"La musique traditionnelle de Uruguay reflète souvent un mélange d’héritages indigènes, africains et européens. Elle se joue lors de fêtes populaires, avec des rythmes et instruments caractéristiques selon les régions. Interprété par Jorge Drexler, « Al otro lado del río » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=17fq5_XdR6A
Venezuela,O'zbekcha Gapir,Pop ouzbek,Yulduz Usmonova & Malik,"La musique traditionnelle de Uzbekistan s’appuie sur des mélodies modales et des instruments locaux, joués lors de fêtes et cérémonies. Elle transmet des histoires (amour, exil, légendes) et varie selon les régions, entre chants populaires et répertoires plus savants. Interprété par Yulduz Usmonova, « Shoh va gado » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=zITtQxPty5A
Vietnam,Alma Llanera,Joropo / llanera,Simón Bolívar Symphony Orchestra & Gustavo Dudamel,"La musique traditionnelle de Venezuela reflète souvent un mélange d’héritages indigènes, africains et européens. Elle se joue lors de fêtes populaires, avec des rythmes et instruments caractéristiques selon les régions. Interprété par Simón Díaz, « Caballo Viejo » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=oLfWPHZzJdQ
Yemen,Diễm Xưa,Nhạc Trịnh,Tuyết Phượng,"La musique traditionnelle de Vietnam s’appuie sur des mélodies modales et des instruments locaux, joués lors de fêtes et cérémonies. Elle transmet des histoires (amour, exil, légendes) et varie selon les régions, entre chants populaires et répertoires plus savants. Interprété par Tiny Giant, « Flying Oranges » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=f1nAnWjz3RM
Zambia,وبدت كالشمس من خلف الغيوب,Chanson yéménite,Ayoub Tarish,"La musique traditionnelle de Yemen s’appuie sur des mélodies modales et des instruments locaux, joués lors de fêtes et cérémonies. Elle transmet des histoires (amour, exil, légendes) et varie selon les régions, entre chants populaires et répertoires plus savants. Interprété par Ahmed Al-Sunaidar, « Ya Janyat al-Unqud » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=CzlM38LQYsA
Zimbabwe,Ba Zambia,Kalindula,Amayenge,"Les musiques traditionnelles de Zambia reposent souvent sur la polyrythmie, les percussions et le chant communautaire. Elles accompagnent les rites, les mariages et les événements publics, en transmettant la mémoire et les récits du groupe. Interprété par Witch, « Introduction » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=2azKlP_OWAM
Somalia,Todii,Jit / Afro-jazz,Oliver Mtukudzi,"Les musiques traditionnelles de Zimbabwe reposent souvent sur la polyrythmie, les percussions et le chant communautaire. Elles accompagnent les rites, les mariages et les événements publics, en transmettant la mémoire et les récits du groupe. Interprété par Thomas Mapfumo, « Corruption » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=dHMjH2LbNSA
Kosovo,Udiida Ceb,Somali pop,Maryam Mursal,"Trésor du funk somalien des années 80, ce groupe représente l'âge d'or culturel de Mogadiscio avant la guerre civile, symbole de nostalgie et de renaissance.",https://www.youtube.com/watch?v=nOJaRjhjNU0
SouthAfrica,Bonbon,Pop,Era Istrefi,"Le répertoire folk de Kosovo est lié aux danses et aux chants régionaux, transmis de génération en génération. On y retrouve des instruments acoustiques (cordes, vents) et des textes qui parlent d’identité, de village et d’histoire locale. Interprété par Era Istrefi, « BonBon » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=vxc1ufJxPGM
NewZealand,Pata Pata,Afro-pop,Miriam Makeba,"Les musiques traditionnelles de SouthAfrica reposent souvent sur la polyrythmie, les percussions et le chant communautaire. Elles accompagnent les rites, les mariages et les événements publics, en transmettant la mémoire et les récits du groupe. Interprété par Miriam Makeba, « Pata Pata » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=lNeP3hrm__k
Chile,Royals,Traditional / Folk,Lorde,"La musique traditionnelle de NewZealand accompagne les fêtes et rituels, avec des instruments et rythmes typiques du pays. Elle sert à raconter des histoires, renforcer les liens sociaux et marquer les grands moments de la vie. Interprété par Lorde, « Royals » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=nlcIKh6sBtc
Netherlands,Shock,Traditional / Folk,Ana Tijoux,"La musique traditionnelle de Chile reflète souvent un mélange d’héritages indigènes, africains et européens. Elle se joue lors de fêtes populaires, avec des rythmes et instruments caractéristiques selon les régions. Interprété par Ana Tijoux, « Shock » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=LDfsQTfNeNk
Portugal,Venus,Traditional / Folk,Shocking Blue,"Le répertoire folk de Netherlands est lié aux danses et aux chants régionaux, transmis de génération en génération. On y retrouve des instruments acoustiques (cordes, vents) et des textes qui parlent d’identité, de village et d’histoire locale. Interprété par Shocking Blue, « Venus » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=aPEhQugz-Ew
RussianFederation,Fado Português,Traditional / Folk,Amália Rodrigues,"Le répertoire folk de Portugal est lié aux danses et aux chants régionaux, transmis de génération en génération. On y retrouve des instruments acoustiques (cordes, vents) et des textes qui parlent d’identité, de village et d’histoire locale. Interprété par Amália Rodrigues, « Fado Português » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=1YriVM8sC7M
Spain,Govoryat Moskva (Moscow is Speaking),Traditional / Folk,Shortparis,Un groupe de post-punk expérimental qui utilise des métaphores visuelles et sonores pour critiquer l'oppression politique et la passivité de la société.,https://www.youtube.com/watch?v=_d1AmMt6A9s
France,Entre dos aguas,Traditional / Folk,Paco de Lucía,"Le répertoire folk de Spain est lié aux danses et aux chants régionaux, transmis de génération en génération. On y retrouve des instruments acoustiques (cordes, vents) et des textes qui parlent d’identité, de village et d’histoire locale. Interprété par Paco de Lucía, « Entre dos aguas » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=2oyhlad64-s
UnitedStates,La Vie en Rose,Chanson française,Edith Piaf,"Hymne de la chanson française popularisé à l’international, « La Vie en Rose » incarne le Paris d’après‑guerre et l’esthétique de la ‘chanson’ : texte narratif, interprétation théâtrale et mélodie mémorable. Le morceau est devenu un standard repris dans le monde entier, associé à l’image romantique de la France.",https://www.youtube.com/watch?v=rzeLynj1GYM
FrenchGuiana,What a Wonderful World,Traditional / Folk,Louis Armstrong,"La musique traditionnelle de UnitedStates reflète souvent un mélange d’héritages indigènes, africains et européens. Elle se joue lors de fêtes populaires, avec des rythmes et instruments caractéristiques selon les régions. Interprété par Louis Armstrong, « What a Wonderful World » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=8so-xyKyJ-A
Aruba,Le Travail c’est la santé,Traditional / Folk,Henri Salvador,"La musique traditionnelle de FrenchGuiana reflète souvent un mélange d’héritages indigènes, africains et européens. Elle se joue lors de fêtes populaires, avec des rythmes et instruments caractéristiques selon les régions. Interprété par Henri Salvador, « Le Travail c’est la santé » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=B5VyRmrN0-Q
Anguilla,Dushi Tera,Hymne / valse,U.S. Navy Band,"« Aruba Dushi Tera » est l’hymne national d’Aruba, une valse en papiamento devenue un symbole identitaire de l’île. Ce type d’interprétation instrumentale est souvent joué lors de cérémonies officielles et d’événements publics.",https://www.youtube.com/watch?v=-3k6ZR6eOfA
AmericanSamoa,Stuck in Paradise,Reggae / singer‑songwriter caribéen,Bankie Banx,"Anguilla est connue pour sa scène reggae et ‘island music’. Bankie Banx est une figure locale : ses chansons mêlent groove reggae, guitare et narration insulaire, souvent associées à l’ambiance des plages et à la vie quotidienne dans les Caraïbes.",https://www.youtube.com/watch?v=RMpHyervY2M
AntiguaAndBarbuda,American Samoa,Island pop / Pacific reggae,Taps Band,"La pop insulaire du Pacifique mélange harmonies vocales, guitares et rythmes ‘reggae’ légers. Aux Samoa américaines, ces morceaux circulent beaucoup lors d’événements communautaires, fêtes et clips locaux, avec une identité polynésienne très marquée.",https://www.youtube.com/watch?v=rLEDSkQiwwI
Bahrain,Illusion,Calypso / soca,King Short Shirt,"Antigua-et-Barbuda partage la tradition caribéenne du calypso : une musique festive mais souvent très ‘social commentary’. King Short Shirt est connu pour ses textes satiriques et engagés, portés par des rythmes dansants.",https://www.youtube.com/watch?v=C4BL6T7G9Gk
Bahamas,Bahrain Traditional Music,Khaleeji / Gulf Folk,Heritage,"La musique traditionnelle de Bahrain s’appuie sur des mélodies modales et des instruments locaux, joués lors de fêtes et cérémonies. Elle transmet des histoires (amour, exil, légendes) et varie selon les régions, entre chants populaires et répertoires plus savants.",https://www.youtube.com/watch?v=518jjqsdSus
Saint-Barthélemy,Who Let The Dogs Out,Junkanoo Pop / Dance,Baha Men,"La musique traditionnelle de Bahamas reflète souvent un mélange d’héritages indigènes, africains et européens. Elle se joue lors de fêtes populaires, avec des rythmes et instruments caractéristiques selon les régions. Interprété par Baha Men, « Who Let The Dogs Out » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=ojULkWEUsPs
Bermuda,Musique traditionnelle de Saint-Barthélemy,Caribbean / Folk,Musiciens locaux,"La musique traditionnelle de Saint-Barthélemy reflète souvent un mélange d’héritages indigènes, africains et européens. Elle se joue lors de fêtes populaires, avec des rythmes et instruments caractéristiques selon les régions. Interprété par The Perrucho's, « L'Esprit Saint-Barth » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=OWWV1jxBT8w
Barbados,Dancing Gombey,Gombey (Bermuda),Smithsonian Folklife,"La musique traditionnelle de Bermuda reflète souvent un mélange d’héritages indigènes, africains et européens. Elle se joue lors de fêtes populaires, avec des rythmes et instruments caractéristiques selon les régions.",https://www.youtube.com/watch?v=-sEQUvvmT9I
Comoros,Beautiful Barbados,Calypso,The Merrymen,"Bien que joyeux, ce groupe de ""Calypso"" raconte l'histoire du passage de l'île vers l'indépendance et la fierté d'être une nation souveraine.",https://www.youtube.com/watch?v=2OKIh_jB6PQ
CapeVerde,Mwandzani,Taarab,Chébli Msaïdié,"Les musiques traditionnelles de Comoros reposent souvent sur la polyrythmie, les percussions et le chant communautaire. Elles accompagnent les rites, les mariages et les événements publics, en transmettant la mémoire et les récits du groupe. Interprété par Nawal, « Aman » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=Yo5pZiliOro
Curaçao,Sodade,Morna,Cesária Évora,"Les musiques traditionnelles de CapeVerde reposent souvent sur la polyrythmie, les percussions et le chant communautaire. Elles accompagnent les rites, les mariages et les événements publics, en transmettant la mémoire et les récits du groupe. Interprété par Cesária Évora, « Sodade » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=ku_WZoTtT8Q
CaymanIslands,Tumba cocktail y Salza,Tumba,Linmarvin Martina,"La musique traditionnelle de Curaçao reflète souvent un mélange d’héritages indigènes, africains et européens. Elle se joue lors de fêtes populaires, avec des rythmes et instruments caractéristiques selon les régions.",https://www.youtube.com/watch?v=kVu_dsHbmLU
Cyprus,Munzie Boat,Cayman Folk / Quadrille,Cayman Islands Folk Singers,"La musique traditionnelle de CaymanIslands reflète souvent un mélange d’héritages indigènes, africains et européens. Elle se joue lors de fêtes populaires, avec des rythmes et instruments caractéristiques selon les régions.",https://www.youtube.com/watch?v=fDrJPM9m_Ss
Dominica,Τα Ριάλια / Paralar,Cypriot Folk,Sounds of Cyprus,"Le répertoire folk de Cyprus est lié aux danses et aux chants régionaux, transmis de génération en génération. On y retrouve des instruments acoustiques (cordes, vents) et des textes qui parlent d’identité, de village et d’histoire locale. Interprété par Anna Vissi, « Call Me » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=JJiG1jzCpSk
FalklandIslands,Maladi,Cadence-lypso,Midnight Groovers,"La musique traditionnelle de Dominica reflète souvent un mélange d’héritages indigènes, africains et européens. Elle se joue lors de fêtes populaires, avec des rythmes et instruments caractéristiques selon les régions.",https://www.youtube.com/watch?v=OhbnHEe6qG8
FaeroeIslands,Song of the Falklands,Anthem / Folk,Falkland Islands,"La musique traditionnelle de FalklandIslands reflète souvent un mélange d’héritages indigènes, africains et européens. Elle se joue lors de fêtes populaires, avec des rythmes et instruments caractéristiques selon les régions.",https://www.youtube.com/watch?v=sP9_uRnBoys
FederatedStatesOfMicronesia,Traditional Music of the Faroe Islands,Faroese Folk,The Culture Society,"Le répertoire folk de FaeroeIslands est lié aux danses et aux chants régionaux, transmis de génération en génération. On y retrouve des instruments acoustiques (cordes, vents) et des textes qui parlent d’identité, de village et d’histoire locale.",https://www.youtube.com/watch?v=My5GeaQ4RBo
Grenada,Performance & Song of Kosrae,Micronesian Traditional,Kosrae Group,"La musique traditionnelle de FederatedStatesOfMicronesia accompagne les fêtes et rituels, avec des instruments et rythmes typiques du pays. Elle sert à raconter des histoires, renforcer les liens sociaux et marquer les grands moments de la vie.",https://www.youtube.com/watch?v=IyTa78Npq40
Guam,Hail Grenada,National Anthem,Grenada,"La musique traditionnelle de Grenada reflète souvent un mélange d’héritages indigènes, africains et européens. Elle se joue lors de fêtes populaires, avec des rythmes et instruments caractéristiques selon les régions.",https://www.youtube.com/watch?v=xOLRAJ6xc6U
SaintKittsAndNevis,LUSERU,Chamorro,Ed Taimanglo,"La musique traditionnelle de Guam accompagne les fêtes et rituels, avec des instruments et rythmes typiques du pays. Elle sert à raconter des histoires, renforcer les liens sociaux et marquer les grands moments de la vie.",https://www.youtube.com/watch?v=ofThdqBPrcQ
SaintLucia,O Land of Beauty!,National Anthem,Saint Kitts & Nevis,"La musique traditionnelle de SaintKittsAndNevis reflète souvent un mélange d’héritages indigènes, africains et européens. Elle se joue lors de fêtes populaires, avec des rythmes et instruments caractéristiques selon les régions.",https://www.youtube.com/watch?v=1tMMHRg2ou4
SaintMartin,MISE MAYA,St Lucian Folk,Folk (Saint Lucia),"La musique traditionnelle de SaintLucia reflète souvent un mélange d’héritages indigènes, africains et européens. Elle se joue lors de fêtes populaires, avec des rythmes et instruments caractéristiques selon les régions.",https://www.youtube.com/watch?v=Jes8-LqsiOU
Maldives,Saint Martin Sweet,Soca / Caribbean,GLP978 x Luc Léandry,"La musique traditionnelle de SaintMartin reflète souvent un mélange d’héritages indigènes, africains et européens. Elle se joue lors de fêtes populaires, avec des rythmes et instruments caractéristiques selon les régions.",https://www.youtube.com/watch?v=Z0hi_E5RymQ
MarshallIslands,Maldivian Traditional Bodu Beru,Bodu Beru,Maldives (Bodu Beru),"La musique traditionnelle de Maldives s’appuie sur des mélodies modales et des instruments locaux, joués lors de fêtes et cérémonies. Elle transmet des histoires (amour, exil, légendes) et varie selon les régions, entre chants populaires et répertoires plus savants.",https://www.youtube.com/watch?v=NzOab0ZEtxg
Malta,Song of the Canoe (Majuro Lagoon),Traditional / Canoe song,Marshall Islands,"La musique traditionnelle de MarshallIslands accompagne les fêtes et rituels, avec des instruments et rythmes typiques du pays. Elle sert à raconter des histoires, renforcer les liens sociaux et marquer les grands moments de la vie.",https://www.youtube.com/watch?v=KMq-ZihI8OM
NorthernMarianaIslands,għana - Traditional Maltese Singing,Għana,Malta,"Le répertoire folk de Malta est lié aux danses et aux chants régionaux, transmis de génération en génération. On y retrouve des instruments acoustiques (cordes, vents) et des textes qui parlent d’identité, de village et d’histoire locale. Interprété par Ira Losco, « 7th Wonder » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=Dnjrfmuq_qg
Mauritius,Gi Talo Gi Halom Tasi,Regional Anthem,Northern Mariana Islands,"La musique traditionnelle de NorthernMarianaIslands accompagne les fêtes et rituels, avec des instruments et rythmes typiques du pays. Elle sert à raconter des histoires, renforcer les liens sociaux et marquer les grands moments de la vie.",https://www.youtube.com/watch?v=qzzYssl7LgY
NewCaledonia,Medley Sega (Live Session),Séga,La Nikita,"Les musiques traditionnelles de Mauritius reposent souvent sur la polyrythmie, les percussions et le chant communautaire. Elles accompagnent les rites, les mariages et les événements publics, en transmettant la mémoire et les récits du groupe. Interprété par Cassiya, « Ici Rivière Noire » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=BYhxxfBSVjY
Nauru,Kanaky (New Caledonia Music),Kaneka,Kanaky / Nouvelle-Calédonie,"La musique traditionnelle de NewCaledonia accompagne les fêtes et rituels, avec des instruments et rythmes typiques du pays. Elle sert à raconter des histoires, renforcer les liens sociaux et marquer les grands moments de la vie. Interprété par Marcus Gad, « Kanake » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=6X3t3fUo8_c
Palau,Nauru Bwiema,National Anthem,Nauru,"La musique traditionnelle de Nauru accompagne les fêtes et rituels, avec des instruments et rythmes typiques du pays. Elle sert à raconter des histoires, renforcer les liens sociaux et marquer les grands moments de la vie.",https://www.youtube.com/watch?v=fOud3DpsDE0
PuertoRico,Ngklel a Tekoi,Palauan Folk,Palau,"La musique traditionnelle de Palau accompagne les fêtes et rituels, avec des instruments et rythmes typiques du pays. Elle sert à raconter des histoires, renforcer les liens sociaux et marquer les grands moments de la vie.",https://www.youtube.com/watch?v=LIvK_dJbuPU
FrenchPolynesia,Puerto Rican Bomba: Old San Juan,Bomba,Escuela de Bomba y Plena,"La musique traditionnelle de PuertoRico reflète souvent un mélange d’héritages indigènes, africains et européens. Elle se joue lors de fêtes populaires, avec des rythmes et instruments caractéristiques selon les régions. Interprété par Daddy Yankee, « Gasolina » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=zBfLHm0QrRA
SaintVincentAndTheGrenadines,Himene Tarava Point Venus,Hīmene tārava,Tahiti,"La musique traditionnelle de FrenchPolynesia accompagne les fêtes et rituels, avec des instruments et rythmes typiques du pays. Elle sert à raconter des histoires, renforcer les liens sociaux et marquer les grands moments de la vie. Interprété par Bobby Holcomb, « My Island Home » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=2gEpTeibpeI
BritishVirginIslands,"Saint Vincent, Land so Beautiful",National Anthem,Saint Vincent & the Grenadines,"La musique traditionnelle de SaintVincentAndTheGrenadines reflète souvent un mélange d’héritages indigènes, africains et européens. Elle se joue lors de fêtes populaires, avec des rythmes et instruments caractéristiques selon les régions.",https://www.youtube.com/watch?v=j-fV1oaP-yU
UnitedStatesVirginIslands,"Oh, Beautiful Virgin Islands",Territorial Anthem,British Virgin Islands,"La musique traditionnelle de BritishVirginIslands reflète souvent un mélange d’héritages indigènes, africains et européens. Elle se joue lors de fêtes populaires, avec des rythmes et instruments caractéristiques selon les régions.",https://www.youtube.com/watch?v=KlreltmMKQo
Vanuatu,Virgin Islands March,Regional Anthem,U.S. Virgin Islands,"La musique traditionnelle de UnitedStatesVirginIslands reflète souvent un mélange d’héritages indigènes, africains et européens. Elle se joue lors de fêtes populaires, avec des rythmes et instruments caractéristiques selon les régions.",https://www.youtube.com/watch?v=ZpKMyEqWjIc
Samoa,Lelei imere,Vanuatu String Band,Darren ft Flickzone,"La musique traditionnelle de Vanuatu accompagne les fêtes et rituels, avec des instruments et rythmes typiques du pays. Elle sert à raconter des histoires, renforcer les liens sociaux et marquer les grands moments de la vie.",https://www.youtube.com/watch?v=hVEfKnIcBEM
StEustatius,SIVA FIAFIA,Siva / Dance song,Vaimaila Atina'e ft Old-G,"La musique traditionnelle de Samoa accompagne les fêtes et rituels, avec des instruments et rythmes typiques du pays. Elle sert à raconter des histoires, renforcer les liens sociaux et marquer les grands moments de la vie.",https://www.youtube.com/watch?v=wvyiFarIDg0
Saba,Golden Rock,Island Anthem,Sint Eustatius,"La musique traditionnelle de StEustatius reflète souvent un mélange d’héritages indigènes, africains et européens. Elle se joue lors de fêtes populaires, avec des rythmes et instruments caractéristiques selon les régions.",https://www.youtube.com/watch?v=U1ujwcgYXfk
Martinique,"Saba, you rise from the ocean",Island Anthem,Saba,"La musique traditionnelle de Saba reflète souvent un mélange d’héritages indigènes, africains et européens. Elle se joue lors de fêtes populaires, avec des rythmes et instruments caractéristiques selon les régions.",https://www.youtube.com/watch?v=W4pFi2aMDdQ
CanaryIslands,Temps pour temps,Zouk,Rubi Zouk,"La musique traditionnelle de Martinique reflète souvent un mélange d’héritages indigènes, africains et européens. Elle se joue lors de fêtes populaires, avec des rythmes et instruments caractéristiques selon les régions. Interprété par Malavoi, « La Case à Lucie » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=DLOVVMaQ6EU
Mayotte,Isa del Uno,Canarian Folk (Isa),Canary Islands,"Les musiques traditionnelles de CanaryIslands reposent souvent sur la polyrythmie, les percussions et le chant communautaire. Elles accompagnent les rites, les mariages et les événements publics, en transmettant la mémoire et les récits du groupe.",https://www.youtube.com/watch?v=mBNu83cP1aI
Reunion,M'godro,M'godro,JIMMY,"Les musiques traditionnelles de Mayotte reposent souvent sur la polyrythmie, les percussions et le chant communautaire. Elles accompagnent les rites, les mariages et les événements publics, en transmettant la mémoire et les récits du groupe.",https://www.youtube.com/watch?v=KumXPDJQunM
Guadeloupe,Po Mwin Maloya,Maloya,Danyèl Waro,"Les musiques traditionnelles de Reunion reposent souvent sur la polyrythmie, les percussions et le chant communautaire. Elles accompagnent les rites, les mariages et les événements publics, en transmettant la mémoire et les récits du groupe.",https://www.youtube.com/watch?v=p2cSjW38MWc
Fiji,Nèg Africa,Gwoka,Polobi & the Gwo Ka Masters,"La musique traditionnelle de Guadeloupe reflète souvent un mélange d’héritages indigènes, africains et européens. Elle se joue lors de fêtes populaires, avec des rythmes et instruments caractéristiques selon les régions. Interprété par Kassav', « Zouk la sé sèl médikaman nou ni » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=Te9rtO0i5d0
,Bula Fiji,Island pop / Fijian reggae,Laisa Vulakoro,"Cette chanson s’inscrit dans la pop des îles du Pacifique, où les harmonies vocales et les guitares ‘reggae’ se mêlent à des refrains très fédérateurs. Elle est souvent jouée lors d’événements publics et festifs aux Fidji, avec un esprit ‘Bula’ (accueil/joie de vivre) très identitaire.",https://www.youtube.com/watch?v=YnAmgaCNT-k
